epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1266.44,0.82822,0.53784,1.10537,0.91598,0.88419,0.91217,0.70157,1.00915,0.63592,1.37088,0.000584578,0.000584578,0.000584578
43,1296.26,0.82686,0.54278,1.10855,0.93569,0.89983,0.90241,0.69417,1.04352,0.57151,1.44062,0.000570944,0.000570944,0.000570944
44,1326.18,0.79881,0.52313,1.10382,0.94944,0.91833,0.92317,0.6957,1.04303,0.57308,1.39941,0.0005572,0.0005572,0.0005572
45,1356.11,0.80266,0.53088,1.1002,0.92084,0.89962,0.91878,0.71024,0.98938,0.5689,1.35153,0.000543358,0.000543358,0.000543358
46,1385.81,0.79414,0.51636,1.08993,0.92606,0.90196,0.9157,0.71125,1.02057,0.58256,1.37398,0.000529433,0.000529433,0.000529433
47,1415.4,0.82527,0.528,1.10633,0.90445,0.91313,0.92174,0.70101,1.0283,0.58106,1.4215,0.000515439,0.000515439,0.000515439
48,1444.76,0.80223,0.51818,1.08271,0.93628,0.89856,0.91957,0.70705,1.01599,0.57783,1.36959,0.00050139,0.00050139,0.00050139
49,1474.07,0.7799,0.50308,1.08708,0.93169,0.91228,0.91897,0.71463,0.99468,0.54521,1.37485,0.000487298,0.000487298,0.000487298
50,1503.39,0.78402,0.51057,1.08679,0.93032,0.91356,0.91625,0.71685,1.0101,0.56145,1.3884,0.000473178,0.000473178,0.000473178
51,1532.7,0.79349,0.50149,1.0835,0.96395,0.92965,0.94475,0.71895,0.9956,0.53715,1.35963,0.000459045,0.000459045,0.000459045
52,1561.98,0.77568,0.48727,1.07825,0.93581,0.91667,0.92916,0.71954,0.96206,0.51848,1.37246,0.000444912,0.000444912,0.000444912
53,1591.31,0.77053,0.48705,1.07446,0.9434,0.9331,0.93055,0.71597,0.96101,0.52414,1.35824,0.000430792,0.000430792,0.000430792
54,1620.57,0.77002,0.48786,1.0654,0.94387,0.8968,0.92778,0.71798,0.98972,0.60764,1.34574,0.0004167,0.0004167,0.0004167
55,1650.55,0.74876,0.47265,1.06575,0.93531,0.90701,0.91944,0.70522,0.99506,0.56187,1.39387,0.000402651,0.000402651,0.000402651
56,1680.63,0.75875,0.46796,1.07267,0.92626,0.937,0.9374,0.73241,0.96439,0.54192,1.39228,0.000388657,0.000388657,0.000388657
57,1710.75,0.73902,0.46349,1.05002,0.94138,0.91277,0.92127,0.70932,1.00066,0.55313,1.40689,0.000374732,0.000374732,0.000374732
58,1740.66,0.76007,0.46919,1.07705,0.95103,0.91112,0.92955,0.72039,0.98544,0.56276,1.34841,0.00036089,0.00036089,0.00036089
59,1770.63,0.7412,0.4646,1.05946,0.94983,0.93416,0.94244,0.71826,1.01038,0.5622,1.37894,0.000347146,0.000347146,0.000347146
60,1800.66,0.7334,0.46059,1.04795,0.94487,0.92696,0.93255,0.70569,1.03731,0.54759,1.4369,0.000333512,0.000333512,0.000333512
61,1830.67,0.7266,0.44481,1.05142,0.92902,0.91204,0.90739,0.7239,1.03331,0.55489,1.41173,0.000320001,0.000320001,0.000320001
62,1860.78,0.72934,0.44855,1.05616,0.96455,0.90975,0.94184,0.7171,1.04198,0.54094,1.43777,0.000306628,0.000306628,0.000306628
63,1890.74,0.72609,0.44784,1.04647,0.93117,0.92073,0.92757,0.72148,1.0094,0.54126,1.39175,0.000293406,0.000293406,0.000293406
64,1920.83,0.69786,0.43609,1.03692,0.92953,0.93287,0.93513,0.7172,1.03506,0.51618,1.43446,0.000280346,0.000280346,0.000280346
65,1950.62,0.70967,0.43056,1.04361,0.95948,0.92011,0.92717,0.72245,1.00384,0.51378,1.38891,0.000267463,0.000267463,0.000267463
66,1980.38,0.70579,0.43803,1.05046,0.92953,0.93696,0.93205,0.71035,1.089,0.56274,1.4448,0.00025477,0.00025477,0.00025477
67,2010.18,0.67627,0.42813,1.03421,0.95515,0.91864,0.9412,0.71445,1.00541,0.5531,1.37531,0.000242278,0.000242278,0.000242278
68,2040,0.70215,0.43031,1.03381,0.95765,0.91345,0.9358,0.71306,1.02363,0.51485,1.38291,0.000229999,0.000229999,0.000229999
69,2069.83,0.71006,0.43312,1.03812,0.95385,0.93113,0.94055,0.71985,1.00796,0.53261,1.39798,0.000217947,0.000217947,0.000217947
70,2099.7,0.67282,0.42375,1.03001,0.95356,0.91144,0.92188,0.71729,1.03347,0.53815,1.39067,0.000206133,0.000206133,0.000206133
71,2129.03,0.66159,0.41542,1.02488,0.9406,0.941,0.944,0.70982,1.07392,0.55055,1.43787,0.000194568,0.000194568,0.000194568
