epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1748.42,0.75535,0.60675,1.062,0.93398,0.84157,0.93805,0.65192,0.95751,0.72887,1.35385,0.000292611,0.000292611,0.000292611
43,1782.93,0.76023,0.6104,1.05362,0.93592,0.83584,0.93154,0.67029,0.98043,0.77825,1.35119,0.000285786,0.000285786,0.000285786
44,1817.4,0.74757,0.60886,1.04847,0.94524,0.85517,0.93625,0.66028,0.94829,0.71689,1.31945,0.000278906,0.000278906,0.000278906
45,1851.95,0.75054,0.5988,1.05761,0.90815,0.86274,0.94751,0.65687,0.90226,0.74473,1.32382,0.000271978,0.000271978,0.000271978
46,1886.35,0.73312,0.58841,1.04227,0.9297,0.85567,0.93483,0.65352,0.96682,0.71002,1.38307,0.000265008,0.000265008,0.000265008
47,1921.38,0.7315,0.57181,1.0386,0.91611,0.85818,0.9436,0.66108,0.98903,0.7333,1.39526,0.000258003,0.000258003,0.000258003
48,1956.14,0.73066,0.57454,1.04426,0.88811,0.9115,0.94477,0.66101,0.96256,0.74243,1.32782,0.000250971,0.000250971,0.000250971
49,1990.54,0.72539,0.5675,1.03641,0.92598,0.84912,0.93564,0.66072,0.98488,0.72191,1.35037,0.000243917,0.000243917,0.000243917
50,2024.96,0.74136,0.58713,1.04915,0.91202,0.85554,0.93079,0.65748,0.93595,0.6887,1.33213,0.000236849,0.000236849,0.000236849
51,2059.22,0.71057,0.55561,1.02904,0.86812,0.91489,0.95031,0.66868,0.93841,0.70318,1.31076,0.000229775,0.000229775,0.000229775
52,2093.74,0.72332,0.56581,1.03766,0.88972,0.86352,0.93715,0.66225,0.94478,0.66834,1.33478,0.000222701,0.000222701,0.000222701
53,2128.29,0.70116,0.55377,1.02268,0.9177,0.91349,0.94782,0.66361,0.93343,0.69677,1.31875,0.000215633,0.000215633,0.000215633
54,2163.01,0.70488,0.56479,1.03319,0.87693,0.8435,0.88592,0.62996,0.92374,0.70045,1.35348,0.000208579,0.000208579,0.000208579
55,2197.83,0.70219,0.55208,1.02386,0.91226,0.82395,0.89801,0.64941,0.94738,0.65467,1.37891,0.000201547,0.000201547,0.000201547
